message,label
"Hey, are we still meeting for lunch at 1 PM tomorrow?",SAFE
Your OTP for logging into your account is 492022. Do not share this with anyone.,SAFE
"Job offer: Earn $5000/day working from home, no experience needed. Sign up now: www.reward-center.co",SCAM
This is your last chance to claim your $500 government stimulus. Apply here: account-update-portal.net,SCAM
Act now! Only 2 hours left to claim your free iPhone 16. Click here: secure-verify-account.com,SCAM
Your flight John is confirmed for departure at 6:30 PM.,SAFE
"Hey it's Emma, I'm stuck abroad and need $7500 urgently. Please send via tinyurl.com/prize-win, will pay back!",SCAM
"Meeting rescheduled to 9 AM, please update your calendar.",SAFE
"Dear customer, your package could not be delivered. Pay a customs fee of $25 here: bit.ly/claim-now",SCAM
"Job offer: Earn $40/day working from home, no experience needed. Sign up now: account-update-portal.net",SCAM
Your bank password expires today. Click bit.ly/claim-now immediately to avoid being locked out permanently.,SCAM
Your order #650208 has been shipped and will arrive by 10 AM.,SAFE
Limited slots! Get 5000% cashback instantly when you register your card at secure-verify-account.com,SCAM
FINAL NOTICE: You owe $25 in unpaid taxes. Pay now at secure-verify-account.com to avoid arrest.,SCAM
Your Netflix password expires today. Click verify-now-safe.info immediately to avoid being locked out permanently.,SCAM
"Don't miss out! Flash sale ends tonight, grab your PlayStation 5 before stock runs out: www.reward-center.co",SUSPICIOUS
"Job offer: Earn $30/day working from home, no experience needed. Sign up now: bit.ly/claim-now",SCAM
Your order #97973 has been shipped and will arrive by 6 PM.,SAFE
"Meeting rescheduled to 6 PM, please update your calendar.",SAFE
Congratulations! You have WON $7500! Click verify-now-safe.info now to claim your prize before it expires.,SCAM
Your electricity bill of $7500 is due on the 15th. Pay via the official app or website.,SAFE
Reminder: your dentist appointment is scheduled for 5 PM on Friday.,SAFE
Reminder: your dentist appointment is scheduled for 11 AM on Friday.,SAFE
Congratulations! You have WON $1000! Click tinyurl.com/prize-win now to claim your prize before it expires.,SCAM
Act now! Only 2 hours left to claim your free iPhone 16. Click here: tinyurl.com/prize-win,SCAM
Your order #519382 has been shipped and will arrive by 8 PM.,SAFE
Your flight Priya is confirmed for departure at 4 PM.,SAFE
This is your last chance to claim your $20 government stimulus. Apply here: www.reward-center.co,SCAM
FINAL NOTICE: You owe $2000 in unpaid taxes. Pay now at bit.ly/claim-now to avoid arrest.,SCAM
Your subscription payment of $2000 failed. Update your card details urgently at www.reward-center.co,SCAM
FINAL NOTICE: You owe $50 in unpaid taxes. Pay now at bit.ly/claim-now to avoid arrest.,SCAM
Act now! Only 2 hours left to claim your free laptop. Click here: verify-now-safe.info,SCAM
"Special discount just for you: 5000% off your next order, use code SAVE5000 at checkout.",SUSPICIOUS
"You've been selected for a free gift card! Claim now: account-update-portal.net. Limited time offer, act fast!",SCAM
Your OTP for logging into your account is 465053. Do not share this with anyone.,SAFE
Congratulations! You have WON $20! Click secure-verify-account.com now to claim your prize before it expires.,SCAM
Act now! Only 2 hours left to claim your free laptop. Click here: account-update-portal.net,SCAM
You have an unclaimed inheritance of $300. Contact us immediately at verify-now-safe.info to process the transfer.,SCAM
Your order #367375 has been shipped and will arrive by 1 PM.,SAFE
Your flight Priya is confirmed for departure at 7 PM.,SAFE
Your order #895794 has been shipped and will arrive by 7 PM.,SAFE
Your electricity bill of $200 is due on the 15th. Pay via the official app or website.,SAFE
We tried to deliver your parcel but failed. Reschedule and pay $3000 redelivery fee: bit.ly/claim-now,SCAM
Your device has a virus! Download gift card now at www.reward-center.co to protect your data before it's too late.,SCAM
You have an unclaimed inheritance of $750. Contact us immediately at tinyurl.com/prize-win to process the transfer.,SCAM
"Your card ending in 39817 was charged $30. If this wasn't you, click secure-verify-account.com to dispute now.",SCAM
Your flight Maria is confirmed for departure at 11 AM.,SAFE
Your electricity bill of $2500 is due on the 15th. Pay via the official app or website.,SAFE
Limited slots! Get 20% cashback instantly when you register your card at www.reward-center.co,SCAM
"Hey, are we still meeting for lunch at 10 AM tomorrow?",SAFE
You've won a lottery of $20! Send your bank details to claim your winnings today.,SCAM
Your OTP for logging into your account is 329487. Do not share this with anyone.,SAFE
Your device has a virus! Download gift card now at tinyurl.com/prize-win to protect your data before it's too late.,SCAM
Limited slots! Get 25% cashback instantly when you register your card at bit.ly/claim-now,SCAM
Limited slots! Get 25% cashback instantly when you register your card at secure-verify-account.com,SCAM
"Your card ending in 156287 was charged $2500. If this wasn't you, click www.reward-center.co to dispute now.",SCAM
"Hi, this is your bank security. Suspicious login detected. Verify identity now: bit.ly/claim-now or account will be locked.",SCAM
URGENT: Your bank account has been suspended. Verify your details immediately at account-update-portal.net or lose access.,SCAM
You have an unclaimed inheritance of $5000. Contact us immediately at www.reward-center.co to process the transfer.,SCAM
Your order #633464 has been shipped and will arrive by noon.,SAFE
Your OTP for logging into your account is 608488. Do not share this with anyone.,SAFE
Your flight John is confirmed for departure at 1 PM.,SAFE
Your OTP for logging into your account is 923529. Do not share this with anyone.,SAFE
CONGRATULATIONS! Your number was randomly selected to win a laptop. Reply YES to claim your reward now.,SCAM
Your PayPal password expires today. Click secure-verify-account.com immediately to avoid being locked out permanently.,SCAM
Your friend invited you to try Amazon Prime. Sign up now and both of you get a bonus.,SUSPICIOUS
Your device has a virus! Download voucher now at verify-now-safe.info to protect your data before it's too late.,SCAM
Your email account has been compromised. Reset your password immediately: www.reward-center.co,SCAM
"Hey, are we still meeting for lunch at 9 PM tomorrow?",SAFE
Act now! Only 2 hours left to claim your free gift card. Click here: verify-now-safe.info,SCAM
Your email password expires today. Click account-update-portal.net immediately to avoid being locked out permanently.,SCAM
Your order #354200 has been shipped and will arrive by 7 PM.,SAFE
Congratulations! You have WON $20! Click verify-now-safe.info now to claim your prize before it expires.,SCAM
"Dear customer, your package could not be delivered. Pay a customs fee of $30 here: www.reward-center.co",SCAM
Your OTP for logging into your account is 729038. Do not share this with anyone.,SAFE
"Your card ending in 275896 was charged $40. If this wasn't you, click verify-now-safe.info to dispute now.",SCAM
CONGRATULATIONS! Your number was randomly selected to win a PlayStation 5. Reply YES to claim your reward now.,SCAM
"Special discount just for you: 25% off your next order, use code SAVE25 at checkout.",SUSPICIOUS
"Meeting rescheduled to 8 AM, please update your calendar.",SAFE
"Don't miss out! Flash sale ends tonight, grab your voucher before stock runs out: www.reward-center.co",SUSPICIOUS
Your OTP for logging into your account is 500687. Do not share this with anyone.,SAFE
Reminder: your dentist appointment is scheduled for 1 PM on Friday.,SAFE
Congratulations! You have WON $3000! Click verify-now-safe.info now to claim your prize before it expires.,SCAM
Your OTP for logging into your account is 290279. Do not share this with anyone.,SAFE
FINAL NOTICE: You owe $5000 in unpaid taxes. Pay now at verify-now-safe.info to avoid arrest.,SCAM
"Hey it's Priya, I'm stuck abroad and need $500 urgently. Please send via account-update-portal.net, will pay back!",SCAM
Your device has a virus! Download laptop now at www.reward-center.co to protect your data before it's too late.,SCAM
"Don't miss out! Flash sale ends tonight, grab your voucher before stock runs out: tinyurl.com/prize-win",SUSPICIOUS
Congratulations! You have WON $25! Click tinyurl.com/prize-win now to claim your prize before it expires.,SCAM
You have an unclaimed inheritance of $1000. Contact us immediately at bit.ly/claim-now to process the transfer.,SCAM
"Hi, this is the bank security. Suspicious login detected. Verify identity now: bit.ly/claim-now or account will be locked.",SCAM
Your Amazon Prime account has been compromised. Reset your password immediately: account-update-portal.net,SCAM
This is your last chance to claim your $1500 government stimulus. Apply here: secure-verify-account.com,SCAM
"Special discount just for you: 15% off your next order, use code SAVE15 at checkout.",SUSPICIOUS
We tried to deliver your parcel but failed. Reschedule and pay $200 redelivery fee: account-update-portal.net,SCAM
We tried to deliver your parcel but failed. Reschedule and pay $5000 redelivery fee: www.reward-center.co,SCAM
You are pre-approved for a loan of $500 with 0% interest! Apply instantly at www.reward-center.co,SCAM
Your flight Priya is confirmed for departure at noon.,SAFE
